Model,Decision threshold,Accuracy,Precision,Recall,F1-score,ROC-AUC,Log loss,Iterations,Training loss,Validation F1 at selected threshold,Confusion Matrix,Documentation
"Original baseline ANN: Adam, threshold 0.50",0.5,0.7970191625266146,0.6666666666666666,0.47058823529411764,0.5517241379310345,0.841778397788628,0.42057959172217396,120,0.39378329991466693,0.5737051792828686,"[[947, 88], [198, 176]]",Recreated existing simple ANN with Adam and default 0.50 classification threshold.
Optimizer 1: SGD + momentum,0.35000000000000014,0.7686302342086586,0.5521739130434783,0.679144385026738,0.6091127098321343,0.8355447053656773,0.42878300984606615,121,0.40786322117565377,0.6477987421383647,"[[829, 206], [120, 254]]",Gradient descent with momentum and adaptive learning rate.
Optimizer 2: Adam + regularization + early stopping,0.2800000000000001,0.7444996451383961,0.5123674911660777,0.7754010695187166,0.6170212765957447,0.8321527293394302,0.4307881084901962,21,0.40497981886071627,0.631578947368421,"[[759, 276], [84, 290]]","Adaptive moment estimation with a deeper ANN, L2 regularization, and early stopping."
Optimizer 3: L-BFGS quasi-Newton,0.35000000000000014,0.7636621717530163,0.5458612975391499,0.6524064171122995,0.5943970767356882,0.8251130228112326,0.45173970871217045,100,0.36688676902127293,0.6469673405909798,"[[832, 203], [130, 244]]",A quasi-Newton optimizer suitable for smaller dense tabular models.
